index,sepalLength,sepalWidth,petalLength,petalWidth,label
100,6.3,3.3,6.0,2.5,2
17,5.1,3.5,1.4,0.3,0
109,7.2,3.6,6.1,2.5,2
141,6.9,3.1,5.1,2.3,2
26,5.0,3.4,1.6,0.4,0
61,5.9,3.0,4.2,1.5,1
64,5.6,2.9,3.6,1.3,1
112,6.8,3.0,5.5,2.1,2
75,6.6,3.0,4.4,1.4,1
15,5.7,4.4,1.5,0.4,0
54,6.5,2.8,4.6,1.5,1
25,5.0,3.0,1.6,0.2,0
1,4.9,3.0,1.4,0.2,0
18,5.7,3.8,1.7,0.3,0
47,4.6,3.2,1.4,0.2,0
125,7.2,3.2,6.0,1.8,2
57,4.9,2.4,3.3,1.0,1
85,6.0,3.4,4.5,1.6,1
29,4.7,3.2,1.6,0.2,0
127,6.1,3.0,4.9,1.8,2
8,4.4,2.9,1.4,0.2,0
69,5.6,2.5,3.9,1.1,1
123,6.3,2.7,4.9,1.8,2
10,5.4,3.7,1.5,0.2,0
142,5.8,2.7,5.1,1.9,2
